,B14_to_A5_intTarget_0.0_mean*yb_cut_mean_intTarget_4.0_mean,B7_intTarget_1.0_mean*B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean,B14_to_A5_intTarget_0.0_mean/A15_intTarget_0.0_mean,A25_intTarget_0.0_mean/yb_cut_mean_intTarget_0.0_mean,B14_to_A5_intTarget_0.0_mean*A5_intTarget_2.0_mean,B11_1_B10_2_intTarget_4.0_mean,A20_1_A16_hnew_A17chengji_intTarget_0.0_mean,B14_to_A5_intTarget_0.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean,A5_intTarget_0.0_mean*A27_intTarget_1.0_mean,A24_intTarget_1.0_mean,A25_intTarget_0.0_mean*B7_intTarget_1.0_mean,A25_intTarget_0.0_mean/B5_intTarget_1.0_mean,样本id*A15_intTarget_1.0_mean,A12_intTarget_0.0_mean/A27_intTarget_1.0_mean,A25_intTarget_0.0_mean/B5_intTarget_0.0_mean,样本id_cut_intTarget_3.0_mean/B7_intTarget_0.0_mean,B14_to_A5_intTarget_0.0_mean/A25_intTarget_0.0_mean,B14_to_A5_intTarget_0.0_mean/A5_intTarget_0.0_mean,A25_intTarget_0.0_mean/A5_intTarget_2.0_mean,样本id_cut_intTarget_1.0_mean/B7_hnew_B5_hnew_B6chengji_intTarget_4.0_mean,A6_intTarget_1.0_mean/A5_intTarget_1.0_mean,B14_to_B7_intTarget_4.0_mean,样本id/B5_intTarget_1.0_mean,样本id*A10_intTarget_1.0_mean,样本id*A5_intTarget_1.0_mean,样本id*b14/a1_a3_a4_a19_b1_b12,b14/a1_a3_a4_a19_b1_b12/A25_intTarget_0.0_mean,wendu_mean,样本id/yb_cut_mean_intTarget_4.0_mean,样本id/B7_hnew_B5_hnew_B6chengji_intTarget_1.0_mean,样本id*B7_intTarget_0.0_mean,样本id/b14/a1_a3_a4_a19_b1_b12,样本id/A5_intTarget_1.0_mean,样本id*B14_to_A5_intTarget_0.0_mean,样本id/B14_to_A5_intTarget_0.0_mean,样本id/样本id_cut_intTarget_4.0_mean,样本id/样本id_cut_intTarget_3.0_mean,样本id/样本id_cut_intTarget_0.0_mean,target
13,0.0,0.094,2.018,2.323,0.118,0.073,0.156,0.929,0.042,0.298,0.044,0.479,170.137,0.599,1.012,2.213,1.968,2.023,0.352,-1.0,0.97,0.0,2047.622,160.5,186.993,79.488,0.882,76.333,-1.0,2018.25,87.698,4851.562,2062.333,177.429,2173.5,-1.0,1987.2,9936.0,0.947
14,0.036,0.083,1.732,1.279,0.118,0.073,0.156,1.045,0.038,0.298,0.049,0.527,356.275,0.522,1.114,0.443,1.787,2.023,0.387,4.128,0.97,0.0,4184.27,413.064,382.115,162.432,0.801,76.667,10152.0,4642.868,179.21,9914.062,4214.333,362.571,4441.5,10152.0,20304.0,10152.0,0.925
15,0.044,0.099,1.732,0.548,0.132,0.049,0.186,0.643,0.056,0.235,0.037,0.674,291.14,0.603,0.787,0.231,1.695,1.496,0.366,3.462,1.373,0.0,4148.0,282.09,221.382,153.346,0.877,74.444,6740.5,2333.25,345.667,7012.712,4857.526,296.286,3629.5,6740.5,13481.0,3370.25,0.902
16,0.028,0.083,0.924,1.119,0.054,0.073,0.156,0.478,0.066,0.298,0.049,0.527,475.616,0.305,1.114,1.517,0.818,0.926,0.387,1.18,0.97,0.176,5724.108,448.676,522.736,233.318,0.841,77.0,8101.333,6351.473,245.16,12916.667,5765.235,227.015,13275.294,8101.333,8101.333,12152.0,0.971
17,0.076,0.231,2.018,2.398,0.132,0.073,0.156,0.286,0.021,0.455,0.037,0.426,26.575,0.527,0.426,0.578,1.787,3.714,0.346,-1.0,0.759,0.0,258.667,25.07,37.308,12.416,0.801,77.111,363.75,97.0,22.385,757.812,252.2,27.714,339.5,363.75,727.5,1455.0,0.902
18,0.019,0.085,1.732,0.799,0.105,0.073,0.156,1.045,0.035,0.309,0.05,0.505,180.243,0.522,1.322,0.97,1.787,2.185,0.433,4.404,0.949,0.0,2029.853,208.973,197.538,82.176,0.801,76.667,9630.0,2348.874,88.237,5015.625,2086.5,183.429,2247.0,9630.0,4815.0,3210.0,0.913
19,0.038,0.088,1.732,2.177,0.105,0.073,0.156,1.013,0.061,0.309,0.045,0.459,50.255,0.305,1.2,0.485,1.968,2.185,0.393,0.867,0.949,0.0,565.956,58.265,55.077,17.878,0.688,76.333,1342.5,634.636,24.602,1792.238,581.75,51.143,626.5,1342.5,2685.0,2685.0,0.925
20,0.0,0.091,3.532,1.439,0.167,0.049,0.156,1.829,0.09,0.143,0.053,0.906,207.945,0.527,0.679,0.0,3.128,1.5,0.48,1.835,-1.0,0.081,4301.0,196.167,0.0,106.867,0.881,76.778,-1.0,2776.94,189.75,5390.625,-1.0,379.5,1518.0,-1.0,-1.0,6831.0,0.93
21,0.0,0.083,3.532,1.199,0.206,0.049,0.156,1.829,0.038,0.298,0.049,0.527,222.466,0.527,1.114,0.944,3.128,3.539,0.387,4.404,1.0,0.081,2677.405,209.865,244.506,114.33,0.881,77.222,-1.0,2970.85,114.672,5767.045,2696.642,406.0,1624.0,-1.0,6090.0,6090.0,0.93
22,0.0,0.085,3.031,1.279,0.185,0.049,0.156,1.829,0.035,0.309,0.05,0.505,391.65,0.522,1.322,0.0,3.128,3.824,0.433,3.096,0.978,0.081,4410.662,360.543,429.231,196.416,0.881,76.889,-1.0,5103.862,191.73,9907.67,4533.75,697.5,2790.0,-1.0,-1.0,11160.0,0.93
23,0.009,0.05,0.729,-1.0,0.033,0.049,0.0,0.602,0.0,0.3,0.039,0.556,254.239,0.746,1.855,0.289,0.776,-1.0,0.674,6.133,0.842,0.176,3042.6,250.807,230.5,134.692,0.866,72.778,13830.0,4241.2,212.769,6311.31,3688.0,120.569,7050.588,13830.0,13830.0,-1.0,0.947
24,0.0,0.037,0.729,-1.0,0.059,0.049,0.186,0.741,0.054,0.286,0.035,0.653,141.734,0.718,0.523,0.0,0.776,0.719,0.371,1.545,0.662,0.176,1991.75,139.821,163.545,75.88,0.876,74.778,-1.0,2912.667,91.378,3481.738,1615.429,67.215,3930.588,-1.0,-1.0,-1.0,0.935
25,0.0,0.077,0.924,1.279,0.046,0.073,0.156,0.464,0.085,0.286,0.044,0.566,19.726,0.305,0.869,0.732,0.818,0.713,0.458,4.062,1.038,0.176,255.13,23.436,20.876,9.677,0.841,76.778,-1.0,255.273,12.293,535.714,248.327,9.415,550.588,-1.0,576.0,576.0,0.971
26,0.036,0.083,3.532,0.746,0.206,0.049,0.156,1.829,0.038,0.298,0.049,0.527,368.219,0.527,1.114,0.0,3.128,3.539,0.387,2.359,1.0,0.081,4431.568,347.362,404.699,189.235,0.881,77.222,18816.0,4917.269,189.802,9545.455,4463.407,672.0,2688.0,18816.0,-1.0,6272.0,0.93
27,0.008,0.019,0.793,0.727,0.065,0.049,0.156,1.962,0.0,0.188,0.025,0.424,163.398,0.603,0.424,0.0,1.438,-1.0,0.182,3.75,-1.0,0.176,2716.0,189.443,0.0,77.971,1.474,74.444,9312.0,8730.0,129.333,4344.214,-1.0,76.108,4450.588,9312.0,-1.0,4656.0,0.935
28,0.0,0.0,1.101,0.632,0.068,0.049,0.156,-1.0,0.039,0.091,0.047,0.478,287.611,0.718,0.955,0.387,1.088,1.403,0.457,2.8,0.953,0.0,2839.0,272.569,308.308,140.762,0.833,72.667,-1.0,-1.0,172.759,7132.658,3256.5,183.799,5462.516,-1.0,15030.0,3757.5,0.878
29,0.038,0.148,1.593,1.265,0.147,0.049,0.0,0.643,0.072,0.333,0.056,0.482,297.532,0.718,0.674,1.5,1.695,1.175,0.328,4.5,1.458,0.0,3082.857,293.515,204.135,151.173,0.831,74.889,8092.5,2427.75,143.867,7701.363,5703.286,308.286,3776.5,8092.5,5395.0,8092.5,0.902
30,0.019,0.111,1.732,2.529,0.13,0.049,0.186,0.643,0.054,0.286,0.042,0.731,135.884,0.603,2.192,1.067,1.695,1.571,0.371,3.75,0.921,0.0,2097.333,131.66,154.0,71.837,0.88,74.444,7260.0,1089.0,60.5,3260.95,1521.143,138.286,1694.0,7260.0,3630.0,7260.0,0.902
31,0.0,0.121,2.018,0.693,0.118,0.073,0.156,0.722,0.038,0.298,0.049,0.527,499.452,0.522,1.114,0.0,1.787,2.023,0.387,7.385,0.97,0.0,6010.973,471.162,548.933,233.344,0.801,77.0,-1.0,4605.474,257.447,14242.188,6054.16,520.857,6380.5,-1.0,-1.0,7899.667,0.936
32,0.012,0.085,0.793,-1.0,0.048,0.073,0.156,0.478,0.035,0.309,0.05,0.505,510.408,0.522,1.322,0.0,0.818,1.0,0.433,10.509,0.949,0.176,5748.088,469.87,559.385,244.339,0.841,76.778,19998.0,6651.485,249.867,13526.786,5908.5,237.738,13902.353,19998.0,-1.0,-1.0,0.983
33,0.0,0.092,1.732,1.517,0.093,0.049,0.186,0.643,0.08,0.4,0.035,0.534,128.304,0.603,0.641,0.0,1.695,1.057,0.52,1.25,1.265,0.0,1447.167,124.315,111.162,67.829,0.88,76.0,-1.0,1028.25,81.244,3079.037,1878.778,130.571,1599.5,-1.0,-1.0,4113.0,0.902
34,0.0,0.222,2.018,1.349,0.087,0.049,0.0,0.429,0.075,1.0,0.056,0.674,18.904,0.409,0.787,1.125,1.695,1.314,0.554,-1.0,1.095,0.0,276.0,18.77,24.0,9.667,0.831,74.444,-1.0,103.5,7.667,492.488,198.375,19.714,241.5,-1.0,552.0,552.0,0.902
35,0.0,0.276,1.593,2.023,0.095,0.049,0.186,0.286,0.0,0.357,0.047,0.653,274.92,0.718,0.523,0.483,1.695,-1.0,0.506,-1.0,0.77,0.0,3863.375,271.209,379.81,147.978,0.88,74.556,-1.0,997.0,171.897,6717.287,2617.125,284.857,3489.5,-1.0,11964.0,11964.0,0.902
36,0.0,0.068,1.593,0.632,0.135,0.049,0.186,0.971,0.016,0.222,0.039,0.482,276.85,0.603,0.674,0.289,1.695,5.429,0.356,13.6,1.064,0.0,2868.571,273.113,264.211,149.017,0.88,73.111,-1.0,3413.6,231.692,6764.45,3815.2,286.857,3514.0,-1.0,15060.0,3765.0,0.902
37,0.0,0.246,1.732,0.799,0.105,0.073,0.156,0.429,0.061,0.309,0.059,0.505,65.135,0.305,1.322,0.0,1.787,2.185,0.433,-1.0,0.949,0.0,733.529,75.517,71.385,29.696,0.801,76.444,-1.0,348.0,24.421,1812.5,754.0,66.286,812.0,-1.0,-1.0,1160.0,0.913
38,0.02,0.083,2.018,-1.0,0.118,0.073,0.156,1.045,0.066,0.298,0.044,0.479,507.123,0.305,1.012,0.0,1.968,2.023,0.352,5.898,0.97,0.0,6103.297,478.399,557.364,236.928,0.882,77.0,25914.0,6772.222,261.401,14460.938,6147.148,528.857,6478.5,25914.0,-1.0,-1.0,0.925
39,0.061,0.059,2.018,0.886,0.1,0.073,0.156,1.0,0.044,0.286,0.039,0.712,319.726,0.595,2.848,0.0,1.505,1.558,0.544,0.5,0.966,0.0,4376.25,379.862,338.361,149.376,0.674,74.222,5446.0,4084.5,207.467,9117.188,4024.959,333.429,4084.5,5446.0,-1.0,5446.0,0.891
40,0.0,0.059,1.732,0.4,0.122,0.049,0.156,1.929,0.056,0.176,0.064,0.575,121.566,0.603,0.959,0.167,1.787,1.5,0.373,5.4,0.77,0.0,1558.8,117.787,164.952,67.002,0.968,74.556,-1.0,2922.75,173.2,2798.262,1136.625,123.714,1515.5,-1.0,6495.0,1082.5,0.891
41,0.041,0.04,1.732,0.787,0.127,0.049,0.186,1.929,0.065,0.214,0.046,0.556,452.573,0.603,1.855,0.429,1.695,1.286,0.379,5.786,1.319,0.0,5319.6,438.504,358.222,224.278,0.825,74.444,11284.0,10881.0,268.667,11586.25,7254.0,460.571,5642.0,11284.0,22568.0,7522.667,0.902
42,0.009,0.075,0.793,1.119,0.046,0.073,0.156,0.478,0.05,0.286,0.044,0.566,188.946,0.522,0.869,0.418,0.818,0.713,0.458,7.077,1.007,0.176,2384.761,219.064,195.13,90.451,0.841,76.667,9422.0,2462.293,114.902,5007.44,2321.163,88.008,5146.471,9422.0,9422.0,4711.0,0.983
43,0.0,0.083,3.031,0.746,0.206,0.049,0.156,1.829,0.038,0.298,0.049,0.527,549.713,0.522,1.114,1.012,3.128,3.539,0.387,2.359,0.97,0.081,6456.108,506.053,589.584,275.686,0.881,76.778,-1.0,7163.701,276.511,13906.25,6502.494,979.0,3916.0,-1.0,13706.0,9137.333,0.93
44,0.016,0.064,1.212,0.787,0.043,0.049,0.186,1.232,0.059,0.312,0.061,0.393,288.432,0.718,-1.0,0.446,1.289,1.087,0.843,1.214,0.714,0.079,2440.667,284.538,488.133,169.352,0.96,79.333,14644.0,5927.333,334.72,6460.588,2241.429,227.391,4811.6,14644.0,7322.0,4881.333,0.92
45,0.0,0.083,3.532,0.853,0.206,0.049,0.156,1.829,0.038,0.298,0.049,0.527,200.548,0.527,1.114,0.0,3.128,3.539,0.387,7.225,0.939,0.081,2413.622,189.188,220.416,103.066,0.881,76.889,-1.0,2678.156,103.374,5198.864,2430.963,366.0,1464.0,-1.0,-1.0,3904.0,0.93
46,0.0,0.037,1.593,0.674,0.135,0.049,0.143,1.619,0.013,0.312,0.035,0.653,97.89,0.595,0.523,0.703,1.695,5.429,0.356,1.771,0.8,0.0,1375.625,96.569,93.421,49.391,0.825,75.889,-1.0,2011.667,63.111,2551.562,1349.0,101.429,1242.5,-1.0,2840.0,1420.0,0.947
47,0.0,0.074,1.732,0.798,0.113,0.073,0.156,1.045,0.043,0.28,0.039,0.479,159.467,0.522,1.597,0.0,1.968,1.81,0.368,6.005,0.925,0.0,1874.4,146.802,179.368,72.704,0.882,76.778,-1.0,2078.132,94.667,4437.5,1798.667,162.286,1988.0,-1.0,-1.0,3124.0,0.902
48,0.024,0.049,1.714,1.012,0.0,0.049,1.0,1.929,0.238,0.0,0.056,0.955,439.454,0.746,0.717,0.333,1.695,0.286,-1.0,4.5,-1.0,0.0,8675.667,416.47,0.0,213.752,0.828,75.889,18372.0,10334.25,382.75,10965.788,-1.0,437.429,5358.5,18372.0,18372.0,9186.0,0.891
49,0.0,0.062,3.905,0.506,0.057,0.049,0.062,0.571,0.059,0.174,0.021,0.674,300.902,0.482,0.843,0.427,1.695,1.429,0.843,-1.0,0.443,0.0,3796.0,258.151,442.867,134.372,0.84,75.222,-1.0,1898.0,296.562,6702.312,2033.571,271.143,3321.5,-1.0,7117.5,2847.0,0.913
50,0.02,0.075,1.732,-1.0,0.1,0.073,0.156,1.045,0.05,0.286,0.04,0.514,521.077,0.522,0.789,0.0,1.968,1.558,0.416,5.898,1.007,0.0,6576.696,479.691,538.13,237.568,0.882,76.778,25984.0,6790.515,316.878,14500.0,6401.306,530.286,6496.0,25984.0,-1.0,-1.0,0.902
51,0.071,0.037,1.732,1.349,0.122,0.049,1.0,1.619,0.051,0.3,0.035,0.653,254.643,0.746,0.523,0.703,1.695,1.333,0.393,1.062,1.826,0.0,3514.625,246.726,129.571,126.191,0.825,75.111,3628.0,5139.667,161.244,6519.062,6349.0,259.143,3174.5,3628.0,7256.0,7256.0,0.879
52,0.0,0.083,2.018,0.949,0.118,0.073,0.156,1.045,0.066,0.298,0.058,0.626,61.644,0.305,1.324,0.0,1.505,2.023,0.46,4.404,0.97,0.0,741.892,58.152,67.751,28.8,0.674,77.0,-1.0,823.204,31.775,1757.812,747.222,64.286,787.5,-1.0,-1.0,1125.0,0.913
53,0.028,0.075,0.793,0.746,0.046,0.073,0.156,0.478,0.05,0.286,0.044,0.566,329.884,0.522,0.869,0.0,0.818,0.713,0.458,1.18,1.007,0.176,4163.587,382.466,340.68,157.92,0.841,76.667,5483.333,4298.952,200.61,8742.56,4052.551,153.654,8985.294,5483.333,-1.0,5483.333,0.983
54,0.006,0.085,1.787,0.586,0.048,0.073,0.156,0.478,0.035,0.309,0.05,0.505,69.439,0.527,1.322,1.984,0.818,1.0,0.433,3.002,0.978,0.176,692.426,59.573,67.385,29.434,0.841,77.222,4818.0,801.251,30.1,1629.464,711.75,28.638,1674.706,-1.0,803.0,803.0,0.971
55,0.0,0.08,1.714,0.562,0.122,0.049,1.0,1.286,0.044,0.286,0.061,1.012,4.88,1.141,0.506,0.5,1.695,1.0,0.393,1.8,-1.0,0.0,102.0,4.624,0.0,2.424,0.846,73.0,-1.0,76.5,3.4,119.212,-1.0,4.857,59.5,-1.0,170.0,56.667,0.879
56,0.0,0.121,1.732,0.726,0.118,0.073,0.156,0.722,0.038,0.298,0.044,0.479,491.878,0.522,1.012,0.0,1.968,2.023,0.352,16.0,0.97,0.0,5776.865,452.812,527.554,224.256,0.882,76.667,-1.0,4426.105,247.42,13687.5,5818.37,500.571,6132.0,-1.0,-1.0,8760.0,0.925
57,0.0,0.11,0.793,0.843,0.067,0.049,0.2,0.327,0.058,0.267,0.047,0.533,103.317,0.595,1.394,0.773,0.776,0.538,0.328,0.333,1.113,0.176,1163.529,100.105,69.622,53.76,0.866,74.667,-1.0,920.0,63.448,2519.048,1945.143,48.123,2814.118,-1.0,2760.0,1840.0,0.935
58,0.0,0.064,2.787,1.18,0.197,0.049,0.0,2.833,0.047,0.3,0.061,0.393,302.495,0.718,-1.0,0.67,2.966,3.167,0.427,2.024,0.928,0.081,2559.667,298.411,346.421,169.659,0.917,74.222,-1.0,6216.333,351.04,7093.102,3473.833,548.5,2194.0,-1.0,5119.333,7679.0,0.967
59,0.0,0.057,0.793,1.279,0.06,0.049,0.156,0.478,0.052,0.235,0.033,0.612,389.685,0.522,1.005,0.0,0.818,0.685,0.347,3.096,1.368,0.176,5310.609,358.734,296.315,186.547,0.841,76.778,-1.0,5078.251,246.756,10327.381,6501.684,181.508,10614.118,-1.0,-1.0,11104.0,0.888
60,0.0,0.084,1.732,0.843,0.063,0.049,0.0,0.971,0.033,0.368,0.048,0.534,83.103,0.603,0.641,0.233,1.695,2.571,0.759,11.333,0.617,0.0,937.333,80.519,131.556,44.196,0.886,72.0,-1.0,1006.4,84.571,1982.46,666.0,84.571,1036.0,-1.0,4440.0,1480.0,0.902
61,0.0,0.108,0.785,0.843,0.06,0.049,0.0,0.327,0.045,0.312,0.046,0.506,104.769,0.746,0.607,0.8,0.776,0.685,0.366,1.0,1.338,0.176,1095.0,99.289,77.921,53.322,0.866,75.444,-1.0,912.5,60.833,2498.512,1709.737,47.731,2791.176,-1.0,2737.5,1825.0,0.947
62,0.0,0.077,1.732,0.799,0.105,0.073,0.156,1.013,0.035,0.309,0.044,0.566,492.159,0.655,0.869,0.0,1.787,2.185,0.433,2.167,0.978,0.0,6211.717,476.859,539.385,224.384,0.801,76.444,-1.0,6215.182,299.293,13695.312,5697.25,500.857,6135.5,-1.0,-1.0,8765.0,0.947
63,0.0,0.075,1.732,0.799,0.1,0.073,0.156,1.045,0.05,0.286,0.044,0.566,490.475,0.522,0.869,0.0,1.787,1.558,0.458,5.505,1.007,0.0,6190.457,568.654,506.527,223.616,0.801,76.667,-1.0,6391.719,298.268,13648.438,6025.367,499.143,6114.5,-1.0,-1.0,8735.0,0.936
64,0.012,0.092,1.115,2.078,0.058,0.049,0.156,0.632,0.035,0.309,0.059,0.505,353.151,0.527,1.322,0.0,0.988,1.207,0.433,0.615,0.897,0.217,4075.515,333.147,396.615,189.741,0.921,76.889,16757.0,5156.0,135.684,8756.793,4189.25,203.526,8163.667,16757.0,-1.0,16757.0,0.998
65,0.054,0.078,1.593,0.899,0.089,0.049,0.0,1.143,0.059,1.0,0.053,0.787,427.96,0.595,0.787,0.455,1.695,1.143,0.54,1.25,1.067,0.0,7242.667,422.182,485.0,217.443,0.831,74.111,8277.333,6208.0,213.308,11077.4,4966.4,443.429,5432.0,8277.333,24832.0,8277.333,0.902
66,0.0,0.121,1.732,0.677,0.118,0.073,0.156,0.722,0.042,0.298,0.044,0.479,201.3,0.478,1.012,0.0,1.968,2.023,0.352,17.143,1.0,0.0,2364.162,185.312,215.9,91.776,0.882,77.0,-1.0,1811.368,101.256,5601.562,2381.148,204.857,2509.5,-1.0,-1.0,3346.0,0.936
67,0.0,0.085,3.031,0.746,0.185,0.049,0.156,1.829,0.035,0.309,0.05,0.505,547.467,0.522,1.322,1.039,3.128,3.824,0.433,2.359,0.978,0.081,6165.441,503.986,600.0,274.56,0.881,76.889,-1.0,7134.431,268.009,13849.432,6337.5,975.0,3900.0,-1.0,13650.0,9100.0,0.93
68,0.0,0.075,1.732,-1.0,0.1,0.073,0.156,1.045,0.05,0.286,0.044,0.566,501.424,0.522,0.869,0.0,1.787,1.558,0.458,6.005,1.007,0.0,6328.652,461.599,517.834,228.608,0.801,76.778,-1.0,6534.407,304.927,13953.125,6159.878,510.286,6251.0,-1.0,-1.0,-1.0,0.925
69,0.107,0.083,3.031,2.238,0.206,0.073,0.156,1.829,0.038,0.298,0.049,0.527,555.609,0.522,1.114,0.0,3.128,3.539,0.387,4.718,0.97,0.081,6525.351,511.481,595.907,278.643,0.881,76.778,9235.333,7240.533,279.477,14055.398,6572.235,989.5,3958.0,9235.333,-1.0,27706.0,0.93
